name,description,thumbnail_url,original_video_url,total_time_minutes
Low-Carb Avocado Chicken Salad,"This chicken salad is a lunchtime delight! Packed with creamy avocado, tender chicken, and crunchy veggies, it's a healthy and satisfying meal that won't weigh you down. Tossed in a tangy yogurt dressing with a hint of spice, it's a flavor explosion that's perfect for a light meal.",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/45b4efeb5d2c4d29970344ae165615ab/FixedFBFinal.jpg,https://s3.amazonaws.com/video-api-prod/assets/a0e1b07dc71c4ac6b378f24493ae2d85/FixedFBFinal.mp4,15
Blueberry Cream Muffins,,https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/4e9524578f544c888af761e10630593b.jpeg,,35
Cinnamon Roll Cheesecake,"Get ready for a dessert extravaganza with this cinnamon roll cheesecake! Creamy cheesecake filling is baked atop a cinnamon roll crust with a swirl of cinnamon sugar and a final icing glaze for an extra-sweet touch. With all the flavors of a classic cinnamon roll in a decadent cheesecake form, it's a showstopper that'll have everyone asking for seconds!",https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/858de8a1025d44a69641254e25bde14a.png,,0
Tomato And Anchovy Pasta,"Savor the bold flavors of this Tomato and Anchovy Pasta, a perfect weeknight meal that's both simple and satisfying. With a zesty tomato sauce and umami-packed anchovies, this dish will have your taste buds dancing in no time!",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/216182.jpg,https://s3.amazonaws.com/video-api-prod/assets/85b5dc4294914e6b80ba2f128aaaa023/FB.mp4,0
Browned “Butter” Chocolate Chip Cookies,"Don’t worry if you’re skipping the eggs and butter–these vegan chocolate chip cookies are out of this world! Make them for friends and family, or just for yourself. You won’t be sorry you did!",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/249914.jpg,https://s3.amazonaws.com/video-api-prod/assets/a47a5576451941b591b50f38d051da8a/VeganBrownedButterCHocolateChipCookiesFBFinal.mp4,65
2-Ingredient Pasta,"This 2-ingredient pasta is a quick and easy dinner option, with pasta and your favorite jarred sauce.",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/97761.jpg,https://s3.amazonaws.com/video-api-prod/assets/c3bb47cc8b8947e1b558ff2d2213e23b/fb_2.mp4,260
Nut-Free Macarons,"These macarons are a sweet and delicate treat that are perfect for anyone with a nut allergy. Made with a crispy shell and a creamy filling, they're a perfect afternoon snack or dessert.",https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/8230d427f6b648e9ae0cfbcbea9d6877.jpeg,,80
Savory Lasagna,"Dive into layers of savory goodness with this classic comfort food! Tender pasta sheets are layered with a hearty meat sauce, rich cheese, and aromatic herbs and spices, all baked to perfection until bubbly and golden. It's a dish that's perfect for sharing with family and friends, and guaranteed to satisfy your cravings!",https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/8a0ce26532fa4a47bd082e815ca49ad6.jpeg,,0
Creamy Cajun Pasta,"Say hello to a taste of the bayou with this creamy Cajun pasta! Savory sausage and a bevy of vegetables get a spicy kick with a Cajun-inspired seasoning blend, all tossed in a luscious creamy sauce. Best of all, it all comes together in just one pot for easy prep and clean-up!",https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/6d9b54963ad9442aa9320076a7bbf0bf.jpeg,,0
100-Layer Lasagna,"You won't believe your eyes when you see this 100-layer lasagna! It's a tower of deliciousness filled with layers of pasta, meat sauce, ricotta cheese, and mozzarella cheese. It's like a work of art that you can eat!",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/150087.jpg,https://s3.amazonaws.com/video-api-prod/assets/d6ca0a1f356141049705f49d48aecc5d/BFV35527_100LayerLasagna-FBFINAL.mp4,450
